如下实体相似度高，可能存在同义实体！
遗传	心律不齐 相似度：0.9024853250751722
对症治疗	霍奇金淋巴瘤IIIA期 相似度：0.9032638198608328
对症治疗	超声气管内窥镜下活检检查EBUS 相似度：0.9003810451441827
对症治疗	颈淋巴结结核 相似度：0.908279118221502
对症治疗	间质性肺病 相似度：0.9042006494099156
对症治疗	5型磷酸二酯酶抑制剂 相似度：0.908722696497876
畸胎瘤	分期治疗 相似度：0.9006645012673992
放射性同位素检查	心律不齐 相似度：0.9013454339736922
放射性同位素检查	多发性神经纤维瘤 相似度：0.9028900211386972
手术治疗	自觉抵制环境污染 相似度：0.9072218667710837
手术治疗	胸细针针吸活检 相似度：0.9029532322726108
手术治疗	颈淋巴结结核 相似度：0.9001032164514733
手术治疗	多发性神经纤维瘤 相似度：0.9010661040618735
手术治疗	心脏病患者 相似度：0.9029558944986442
不饮酒或少饮酒	良性胸内甲状腺肿 相似度：0.9000445534749983
不饮酒或少饮酒	夜间盗汗 相似度：0.9000005141156922
不饮酒或少饮酒	扁桃体化脓 相似度：0.9012645586080413
恶性胸内甲状腺肿	肺功能评价 相似度：0.9023411866432691
甲状腺腺瘤	氯霉素 相似度：0.901065250340227
甲状腺腺瘤	间质性肺病 相似度：0.9041613317849576
囊肿	重症肌无力I型 相似度：0.9005261786564536
坠入性胸内甲状腺肿	胸部X线片 相似度：0.901742903230603
X线	间质性肺病 相似度：0.9014287803157591
X线	心脏病患者 相似度：0.9027179709598572
良性畸胎瘤	手术切除 相似度：0.9002783666918421
良性畸胎瘤	上睑提肌和眼外肌受累 相似度：0.9014312074251503
良性畸胎瘤	镇痛治疗 相似度：0.9009125197687203
良性畸胎瘤	HIV感染者 相似度：0.9037732356226752
上腔静脉综合症	胸腺瘤III期 相似度：0.9010320740613069
上腔静脉综合症	胸平片 相似度：0.9039522065300825
纵隔畸胎瘤	锁骨上淋巴结肿大 相似度：0.9061510020459203
纵隔畸胎瘤	心律不齐 相似度：0.9006966135657956
纵隔畸胎瘤	扁桃体化脓 相似度：0.9042472955486971
肿瘤标志物	维生素B2 相似度：0.9009325974180236
磁共振	刺激性咳嗽 相似度：0.9020728790198217
磁共振	多发性神经纤维瘤 相似度：0.9001612983607713
霍奇金淋巴瘤	超声气管内窥镜下活检检查EBUS 相似度：0.9013878733839564
霍奇金淋巴瘤	分期治疗 相似度：0.9003424196583377
面部水肿	分期治疗 相似度：0.9017610281754141
面部水肿	心力衰竭 相似度：0.9006109252029116
夜间盗汗	鳞癌 相似度：0.9019109103063047
夜间盗汗	间质性肺病 相似度：0.9005961203424903
夜间盗汗	脾切除 相似度：0.9006573482736437
锁骨上淋巴结肿大	重症肌无力III型 相似度：0.9006943966322255
锁骨上淋巴结肿大	轻度全身型 相似度：0.9000925332710653
侵及一个单独淋巴结区或侵及单一结外器官或部位(I E)	AB型胸腺瘤 相似度：0.9008003429613828
淋巴细胞突出型	上睑提肌和眼外肌受累 相似度：0.9003902025515527
淋巴管造影术	肠源性重复囊肿 相似度：0.9000755720742305
淋巴管造影术	卡氏肺孢子虫病 相似度：0.9015111055345814
霍奇金淋巴瘤IB期	慢性血栓栓塞性肺高压 相似度：0.9003541370540403
霍奇金淋巴瘤IIIA期	慢性血栓栓塞性肺高压 相似度：0.904298125313635
霍奇金淋巴瘤IIIA期	5型磷酸二酯酶抑制剂 相似度：0.9016910918155308
以联合化疗为主，标准方案为MOPP、ABVD、MPPP/ABVD交替，总数至少6周期以上	周围型肺癌 相似度：0.9011557764254179
淋巴细胞型	病理诊断 相似度：0.9053926217732987
上皮淋巴细胞混合型	保泰松 相似度：0.9017806100193657
上皮淋巴细胞混合型	超声气管内窥镜下活检检查EBUS 相似度：0.9009461613054643
上皮淋巴细胞混合型	尽量心情爽朗 相似度：0.9047566331668062
AB型胸腺瘤	重症肌无力 相似度：0.9004790444315998
AB型胸腺瘤	上睑提肌和眼外肌受累 相似度：0.9011785619112714
AB型胸腺瘤	庆大霉素 相似度：0.9007885611623399
AB型胸腺瘤	硫唑嘌呤 相似度：0.9025445533146815
AB型胸腺瘤	头痛 相似度：0.9071116222863297
AB型胸腺瘤	尽量心情爽朗 相似度：0.9057144278724787
AB型胸腺瘤	矽肺患者 相似度：0.905124293126647
AB型胸腺瘤	扁桃体化脓 相似度：0.9005486299305103
C型胸腺瘤	双膦盐酸治疗 相似度：0.9014564836397856
皮质型胸腺瘤	多发性神经纤维瘤 相似度：0.9001416400043235
胸腺瘤IVB期	向心性肥胖 相似度：0.900202999675627
体重减重	头痛 相似度：0.9006849657946095
重症肌无力	胸部X线 相似度：0.9031781115268348
重症肌无力	白细胞 相似度：0.9028796373785457
非侵袭性胸腺瘤	基底细胞样鳞癌 相似度：0.9032375165325761
侵袭性胸腺瘤	穿刺活检法 相似度：0.9032530264342917
侵袭性胸腺瘤	HIV感染者 相似度：0.9038937474168006
侵袭性胸腺瘤	肺功能评价 相似度：0.9030779664293515
胸平片	骨结核 相似度：0.9017917429046844
胸平片	心力衰竭 相似度：0.9028646345924815
手术切除	超声气管内窥镜下活检检查EBUS 相似度：0.906983085601543
上睑提肌和眼外肌受累	血压高 相似度：0.9007149344780132
上睑提肌和眼外肌受累	分期治疗 相似度：0.9012225779437125
中度全身型	分期治疗 相似度：0.9014111067064624
较严重的四肢无力，生活不能自理	胸部X线 相似度：0.9004589441296721
较严重的四肢无力，生活不能自理	收缩功能障碍 相似度：0.9002847440002174
胆碱能危象	向心性肥胖 相似度：0.9019545607730465
苯妥因钠	间质性肺病 相似度：0.9001555887832947
氯霉素	找一个靠近过道的座位，因为更容易站起来 相似度：0.9016212410948802
链霉素	肺功能评价 相似度：0.900220038980291
对氨基水杨酸钠	慢性血栓栓塞性肺高压 相似度：0.9020698667807513
保泰松	纵隔单纯性囊肿 相似度：0.9012315105190549
保泰松	头痛 相似度：0.9023895126626736
保泰松	肺功能评价 相似度：0.9025344007166682
过敏	不具有传染性 相似度：0.9009886920359595
过敏	心力衰竭 相似度：0.9006611838568958
反应延迟	心律不齐 相似度：0.9003867400184574
向心性肥胖	中期 相似度：0.9003442168571093
向心性肥胖	纤维/电子支气管镜检查 相似度：0.9007590363162322
痤疮	收缩功能障碍 相似度：0.9061174136499769
紫纹	间质性肺疾病 相似度：0.9081979474382263
血压高	胎盘 相似度：0.9004183129936865
血压高	间质性肺病 相似度：0.9048278333297478
血压高	多发性神经纤维瘤 相似度：0.9017005447637252
血压高	少吃多餐，每次可进食4到5次 相似度：0.9000489312819165
四肢肌肉萎缩	重建术 相似度：0.9004920768685638
血清钾低	女性患者较为多见 相似度：0.900392316813239
胸腺角化鳞癌	间质性肺病 相似度：0.902275621099379
胸腺角化鳞癌	睡眠监测 相似度：0.9011068455856512
基底细胞样鳞癌	肠囊肿 相似度：0.901753276949877
心律不齐	分期治疗 相似度：0.900402604318641
胸部X线	镇痛治疗 相似度：0.9024806741746298
胸部X线	5型磷酸二酯酶抑制剂 相似度：0.9048033499557916
胸部X线	少吃多餐，每次可进食4到5次 相似度：0.9027148757644117
小细胞癌	活动后气短 相似度：0.9010048979475986
纵隔支气管源性囊肿	气管梗阻 相似度：0.9001778769440162
刺激性咳嗽	不同程度的呼吸道症状 相似度：0.9007989466222198
刺激性咳嗽	小细胞肺癌 相似度：0.9006927705178732
刺激性咳嗽	纵隔肿瘤 相似度：0.9025844738374902
刺激性咳嗽	心率不齐 相似度：0.9016089205875473
肠源性重复囊肿	早期 相似度：0.9006514134816755
肠源性重复囊肿	结核性腹膜炎 相似度：0.9027186998427846
肠源性重复囊肿	间质性肺病 相似度：0.9011089700659234
穿刺活检法	间质性肺疾病 相似度：0.9013815895298999
穿刺活检法	肺功能评价 相似度：0.9024938466007094
切开活检法	分期诊断 相似度：0.9014024444308283
切开活检法	间质性肺病 相似度：0.9009544457742366
神经干有麻木，触痛或感觉迟钝	5型磷酸二酯酶抑制剂 相似度：0.9008895636489102
头痛	尽量心情爽朗 相似度：0.9012861715409926
头痛	扁桃体化脓 相似度：0.9000730421580609
头痛	收缩功能障碍 相似度：0.9028302624575673
头痛	多发性神经纤维瘤 相似度：0.9018892899638462
呕吐	肺功能评价 相似度：0.9040261617354945
小细胞肺癌	有服用减肥药史的患者 相似度：0.9014458158798917
女性患者较为多见	多发性神经纤维瘤 相似度：0.9018769623577674
早期	血液成分异常 相似度：0.900467085585939
中期	间质性肺病 相似度：0.9035540734506118
病理诊断	少吃多餐，每次可进食4到5次 相似度：0.9013175940416214
纤维/电子支气管镜检查	间质性肺病 相似度：0.9032909764768822
胸腔镜肺切除术	分期治疗 相似度：0.9018537977976195
胸腔镜肺切除术	多发性神经纤维瘤 相似度：0.9009974950426005
经常接触煤烟或油烟者	脑伽马刀治疗 相似度：0.9012224738951132
尽量心情爽朗	浮肿 相似度：0.9016532401701325
尽量心情爽朗	肺静脉闭塞病和肺毛细血管瘤 相似度：0.9000219225401771
尽量心情爽朗	肺功能评价 相似度：0.9015046599227005
尽量心情爽朗	血液成分异常 相似度：0.9069125889383307
结核性脑膜炎	多发性神经纤维瘤 相似度：0.9009232372278424
结核性腹膜炎	多发性神经纤维瘤 相似度：0.9000747977891194
肾结核	其他同时存在限制性和阻塞性通气功能障碍的肺疾病 相似度：0.9002425799372611
间质性肺病	扁桃体化脓 相似度：0.9009245794533653
间质性肺病	肺高血压 相似度：0.9010134866890765
间质性肺病	左心疾病相关肺高压 相似度：0.9044609221382064
间质性肺病	收缩功能障碍 相似度：0.9027499470412209
间质性肺病	5型磷酸二酯酶抑制剂 相似度：0.9063808440047826
间质性肺病	避免吃硬的、干的和难以咀嚼的食物 相似度：0.9005839363706529
畏寒	心脏病患者 相似度：0.9023331180594818
红细胞沉降率加快	肺静脉闭塞病和肺毛细血管瘤 相似度：0.9001645840418027
红细胞沉降率加快	支气管炎 相似度：0.9029105467196031
红细胞沉降率加快	少吃多餐，每次可进食4到5次 相似度：0.9011839483873048
扁桃体化脓	肥胖 相似度：0.9032698046365057
右心导管检查	HIV感染者 相似度：0.9007045096806243
左心	多发性神经纤维瘤 相似度：0.9006924225857668
左心疾病相关肺高压	收缩功能障碍 相似度：0.9014544739420003
肺静脉闭塞病和肺毛细血管瘤	心脏病患者 相似度：0.9036062812986918
收缩功能障碍	多发性神经纤维瘤 相似度：0.9057786092267164
收缩功能障碍	HIV感染者 相似度：0.9043635015728659
收缩功能障碍	5型磷酸二酯酶抑制剂 相似度：0.9008473270957622
间质性肺疾病	肺功能评价 相似度：0.9077650860398317
间质性肺疾病	下肢外伤 相似度：0.9000660901453773
有服用减肥药史的患者	肺功能评价 相似度：0.9045379464274311
肺功能评价	心脏病患者 相似度：0.9028066210047702
血液成分异常	找一个靠近过道的座位，因为更容易站起来 相似度：0.9010863250056604
心力衰竭	软食和液体食物更容易吞咽，饮食中可以增加这类食物的比例 相似度：0.9018068352204032
